Card Name,Card Description,Due Date,List Name
"Conduct community vulnerability analysis for relevant natural hazards, considering historical data sources and potential future hazard events in the vulnerability analysis.",this is where participatory stuff might fit in. need to define it more.,2026-01-30T15:29:00.000Z,Deliverables
Analyse community practices for natural resources management:,"seems nebulous but may be another way to bring in participatory processes / games. consider something like WFP’s livelihood mapping approach (CLEAR)

identify major causes of natural resources degradation and good practices for sustainable natural resources management and assess potential impacts on livelihoods.",2026-01-30T15:29:00.000Z,Deliverables
"Analyse factors affecting the community capacity to undertake risk and impact assessments, to plan and implement mitigation and adaptation actions.","once again, addressed by games potentially",2026-01-30T15:29:00.000Z,Deliverables
"Estimate potential human and economic losses based on the exposure and vulnerability of people (particularly youth, elderly, persons with disabilities) buildings and infrastructure.","looking at EM-DAT, Desinventar, etc.",2026-02-27T15:29:00.000Z,Deliverables
Co-Identify relevant weather and climate parameters and establish critical threshold values required to issue a warning for hazard events,"trigger selection tools a la DESDR

(flooding, storm surge, heat waves and extreme temperatures, severe thunderstorms, strong winds, drought) and develop understandable, recognisable, and timely warnings for the NMS and National Emergency Management Organisation (NEMO).",2026-02-27T15:29:00.000Z,Deliverables
Forecast-related deliverables,"These are complementary to Diego’s deliverables, which are focused on the met service capacity building and training:

‌

(aa) Identify requirementsfor weatherforecasts and warningsto be used within the MH- IBF-EWS.

• (bb) Conduct stakeholder consultations to establish effective dissemination and communication systems whereby all actors clearly understand their functions, roles and responsibilities as well as the identification of appropriate communication media for warning dissemination.

• (cc) Assist key stakeholders to develop warning alerts and messages that are specific to the nature of the threat and its potential impacts, and tailored to the needs of the groups/communities at risk.",2026-03-31T14:29:00.000Z,Deliverables
Develop hazard map tools linking forecasts and vulnerabilities for the project area.,"This is the primary deliverable of this contract. I am thinking a GEE maproom tying together hazard, exposure and vulnerability layers and visualizing thresholds somehow",2026-03-31T14:29:00.000Z,Deliverables
Evaluate climate variable and climate change (CC) scenarios:,"this should be selecting off the shelf information and not making new analyses

- determination of climate variables ofinterest(precipitation, drought
  conditions, precipitation extremes and potential flooding, temperature, winds.),
  and defining baseline conditions
- determine CC scenarios, based on the best available information.",2025-12-26T15:29:00.000Z,Completed
"Analyse hazard characteristics(e.g. intensity, frequency and probability) of
identified hazards taking historical data into consideration;",something similar to hazard maprooms I have done in GEE in the past,2025-12-26T15:29:00.000Z,Completed
Conduct an assessment to collect baseline information and identify gaps relating to the impacts of different weather hazards and the exposure of vulnerable assets and population.,"overlaying exposure and vulnerability on hazard

‌

Help target forecasts and warnings for exposed and vulnerable people and sectors,",2025-12-26T15:29:00.000Z,Completed
"Review exising data, information, maps and studies for the project area and conduct a gap assessment of previous risk and vulnerability assessments.","desk review in coordination with met service, Diego",2025-11-14T15:29:00.000Z,Completed
Contract,"[https://drive.google.com/drive/u/1/folders/1oLS6FAXn-L1S6Be6xlUP5hmdwNDnD6eh](https://drive.google.com/drive/u/1/folders/1oLS6FAXn-L1S6Be6xlUP5hmdwNDnD6eh ""smartCard-inline"")",,References
